include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,4,9,False,True,4,5.175899,0.047826465,2.7867818,0.0680204,45.57181978225708,211.1517219543457
True,True,1,1,4,9,False,False,4,5.1773376,0.04781214,2.785947,0.068041064,46.77020001411438,203.14169311523438
True,True,1,1,9,9,False,True,4,5.1550655,0.04763579,2.7756712,0.06771963,43.73032307624817,212.18650484085083
True,True,1,1,9,9,False,False,4,5.1633067,0.0476882,2.7787251,0.067777134,45.1341609954834,204.2400929927826
True,True,1,1,18,9,False,True,4,5.125604,0.047407925,2.762394,0.06723549,43.62374782562256,197.8376338481903
True,True,1,1,18,9,False,False,4,5.1455956,0.04751531,2.768651,0.06740886,43.97018504142761,197.71689867973328
True,True,1,1,36,9,False,True,4,5.0824966,0.04696617,2.7366533,0.06649927,44.39370393753052,201.03216314315796
True,True,1,1,36,9,False,False,4,5.1077895,0.047207233,2.7506998,0.06689159,45.039794921875,195.33254504203796
True,True,1,1,72,9,False,True,4,5.049446,0.046472058,2.7078624,0.06593851,47.26828908920288,200.0771141052246
True,True,1,1,72,9,False,False,4,5.0669436,0.046671808,2.7195015,0.06624258,45.93674993515015,229.69150304794312
True,True,1,1,144,9,False,True,4,5.0101943,0.045917258,2.6755347,0.0653471,52.76521301269531,236.7667200565338
True,True,1,1,144,9,False,False,4,5.0182843,0.046022058,2.6816413,0.06535539,52.5011420249939,217.39784812927246
True,True,1,1,288,9,False,True,4,4.931653,0.045313414,2.6403496,0.064304195,63.410576820373535,284.2741949558258
True,True,1,1,288,9,False,False,4,4.9375396,0.04529417,2.6392283,0.064261936,66.32402110099792,273.17943811416626
True,True,1,1,576,9,False,True,4,4.904,0.04519934,2.6337025,0.064428516,82.34778213500977,252.09479188919067
True,True,1,1,576,9,False,False,4,4.895539,0.04507685,2.6265655,0.06413725,81.09853076934814,253.75680494308472
True,True,1,1,1152,9,False,True,4,4.8897886,0.045275006,2.6381116,0.06450318,102.14929986000061,249.91531705856323
True,True,1,1,1152,9,False,False,4,4.8836026,0.045178346,2.6324794,0.06424068,96.70932984352112,266.83220291137695
True,True,1,1,2304,9,False,True,4,4.9111156,0.045248896,2.6365905,0.06460616,143.56980299949646,304.6605820655823
True,True,1,1,2304,9,False,False,4,4.9057846,0.045143135,2.6304278,0.06436809,148.273845911026,319.6848740577698
True,True,1,1,4608,9,False,True,4,4.9412813,0.045560185,2.654729,0.064708315,217.68867802619934,368.06311321258545
True,True,1,1,4608,9,False,False,4,4.931756,0.045416806,2.6463742,0.064317755,206.19715023040771,354.0254979133606
False,True,1,1,4,9,False,True,4,5.592174,0.051008467,2.9721925,0.07357626,48.253145933151245,188.1587347984314
False,True,1,1,4,9,False,False,4,5.5978227,0.051090248,2.9769578,0.07385334,44.57218313217163,179.4035680294037
False,True,1,1,9,9,False,True,4,5.557847,0.050757136,2.957548,0.07303681,43.276532888412476,177.5303189754486
False,True,1,1,9,9,False,False,4,5.5752153,0.05088157,2.9647982,0.07335045,43.34452986717224,175.26600980758667
False,True,1,1,18,9,False,True,4,5.5005064,0.050183486,2.924122,0.07185333,45.742560148239136,188.72638416290283
False,True,1,1,18,9,False,False,4,5.537386,0.050486777,2.9417944,0.07244569,43.70195412635803,185.37744212150574
False,True,1,1,36,9,False,True,4,5.4194026,0.049398847,2.8784022,0.07029937,46.66715598106384,178.43788194656372
False,True,1,1,36,9,False,False,4,5.451797,0.049709413,2.8964984,0.07082723,45.89154505729675,189.12441420555115
False,True,1,1,72,9,False,True,4,5.3552876,0.048616566,2.8328197,0.06914685,49.49033188819885,184.6659870147705
False,True,1,1,72,9,False,False,4,5.373903,0.048857443,2.8468554,0.06950346,52.62352800369263,192.819580078125
False,True,1,1,144,9,False,True,4,5.231155,0.047344737,2.758712,0.066902205,50.46979904174805,195.89224195480347
False,True,1,1,144,9,False,False,4,5.246923,0.04753302,2.7696831,0.067121685,64.28028726577759,202.4057581424713
False,True,1,1,288,9,False,True,4,5.1115856,0.046435826,2.705751,0.06549021,66.13852524757385,208.97191905975342
False,True,1,1,288,9,False,False,4,5.1244874,0.046489164,2.708859,0.06563106,59.486050844192505,208.73168897628784
False,True,1,1,576,9,False,True,4,5.0364494,0.04610647,2.68656,0.06492094,76.0158360004425,214.8501579761505
False,True,1,1,576,9,False,False,4,5.042337,0.046080716,2.6850593,0.064911686,71.73544406890869,203.73703026771545
False,True,1,1,1152,9,False,True,4,5.0331764,0.04619179,2.6915314,0.064912125,98.01808619499207,229.12942695617676
False,True,1,1,1152,9,False,False,4,5.0299873,0.046147835,2.6889703,0.06480311,102.25501704216003,233.71683502197266
False,True,1,1,2304,9,False,True,4,5.0542088,0.046226732,2.6935675,0.06519591,140.73410415649414,275.18192529678345
False,True,1,1,2304,9,False,False,4,5.049941,0.046135474,2.6882498,0.06502944,141.96322989463806,275.94386625289917
False,True,1,1,4608,9,False,True,4,5.1008077,0.046720836,2.7223582,0.06610435,210.65339398384094,343.72633695602417
False,True,1,1,4608,9,False,False,4,5.0923514,0.04660921,2.7158542,0.06579182,205.66525173187256,333.5610558986664
