include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,9,9,False,True,4.0,5.1550655,0.04763579,2.7756712,0.06771963,51.92464900016785,233.96633195877075
True,True,1,1,9,9,False,True,1.0,5.15267,0.047674168,2.7779076,0.06773615,53.24156618118286,233.31377410888672
True,True,1,1,9,9,False,True,0.1,5.1560307,0.047687035,2.7786572,0.06778944,50.33231568336487,246.42458081245422
True,True,1,1,9,9,False,True,0.01,5.153872,0.04761917,2.774703,0.06769411,47.93141508102417,226.5564751625061
True,True,1,1,9,9,False,True,0.005,5.1609163,0.047689512,2.7788017,0.0678537,45.25859785079956,241.8889307975769
True,True,1,1,9,9,False,True,0.003,5.164783,0.04771743,2.7804284,0.067836806,44.70613408088684,230.86907696723938
True,True,1,1,9,9,False,True,0.0025,5.1645885,0.047733117,2.7813423,0.06783942,41.60288619995117,222.53447604179382
True,True,1,1,9,9,False,True,0.002,5.167528,0.04773715,2.7815776,0.06782675,40.33329772949219,229.57755279541016
True,True,1,1,9,9,False,True,0.001,5.178072,0.04788202,2.7900188,0.06797872,31.0278959274292,207.47124981880188
True,True,1,1,9,9,False,True,0.0005,5.1951356,0.048025742,2.7983935,0.06847436,28.701653003692627,190.2028830051422
True,True,1,1,9,9,False,False,4.0,5.1633067,0.0476882,2.7787251,0.067777134,66.7332832813263,274.5578911304474
True,True,1,1,9,9,False,False,1.0,5.162353,0.04767881,2.7781782,0.06778643,56.45679998397827,239.80297803878784
True,True,1,1,9,9,False,False,0.1,5.1637716,0.04767734,2.7780926,0.067835286,50.33757710456848,271.7054510116577
True,True,1,1,9,9,False,False,0.01,5.162939,0.047690157,2.7788393,0.06778148,51.05749583244324,237.6509850025177
True,True,1,1,9,9,False,False,0.005,5.16418,0.047705047,2.779707,0.06786555,48.9684100151062,211.46684193611145
True,True,1,1,9,9,False,False,0.003,5.164338,0.04768175,2.7783494,0.06772864,36.30504608154297,184.88115620613098
True,True,1,1,9,9,False,False,0.0025,5.1644034,0.047672726,2.7778234,0.06773876,35.41712307929993,178.7933430671692
True,True,1,1,9,9,False,False,0.002,5.171017,0.047757234,2.7827477,0.06786935,34.242575883865356,189.24805569648743
True,True,1,1,9,9,False,False,0.001,5.17805,0.047831874,2.787097,0.06790734,27.732731819152832,174.55962300300598
True,True,1,1,9,9,False,False,0.0005,5.1942725,0.047971357,2.7952244,0.06838993,25.41219997406006,150.4677140712738
False,True,1,1,9,9,False,True,4.0,5.557847,0.050757136,2.957548,0.07303681,43.85933017730713,171.78547501564026
False,True,1,1,9,9,False,True,1.0,5.5572925,0.05077258,2.958448,0.073054545,43.55475211143494,171.02433919906616
False,True,1,1,9,9,False,True,0.1,5.5574956,0.050717093,2.9552147,0.072958395,43.15305995941162,183.80445790290833
False,True,1,1,9,9,False,True,0.01,5.557639,0.05069181,2.9537413,0.07277,42.902512311935425,170.8008050918579
False,True,1,1,9,9,False,True,0.005,5.569976,0.050791655,2.9595592,0.072831586,39.767003297805786,166.05646514892578
False,True,1,1,9,9,False,True,0.003,5.572659,0.05083216,2.9619195,0.07285751,37.30486512184143,177.64264702796936
False,True,1,1,9,9,False,True,0.0025,5.573256,0.050820682,2.9612505,0.07287315,36.652344942092896,187.59683299064636
False,True,1,1,9,9,False,True,0.002,5.5793943,0.050844856,2.9626591,0.072905995,35.42185401916504,170.94649386405945
False,True,1,1,9,9,False,True,0.001,5.590082,0.05104647,2.9744067,0.07283139,28.79248809814453,172.57708621025085
False,True,1,1,9,9,False,True,0.0005,5.610529,0.051220443,2.984544,0.07419379,27.28227972984314,153.3596887588501
False,True,1,1,9,9,False,False,4.0,5.5752153,0.05088157,2.9647982,0.07335045,46.803755044937134,185.92815113067627
False,True,1,1,9,9,False,False,1.0,5.5755105,0.05088085,2.9647565,0.07334367,44.39652419090271,179.56999707221985
False,True,1,1,9,9,False,False,0.1,5.5753713,0.050862953,2.9637136,0.07332163,46.07197594642639,188.2296702861786
False,True,1,1,9,9,False,False,0.01,5.5751615,0.050873667,2.964338,0.07314495,45.22352981567383,185.5186369419098
False,True,1,1,9,9,False,False,0.005,5.5802646,0.050881866,2.9648156,0.073092565,44.28793692588806,179.51840901374817
False,True,1,1,9,9,False,False,0.003,5.580477,0.05086377,2.9637613,0.072996065,37.24770188331604,184.8792600631714
False,True,1,1,9,9,False,False,0.0025,5.5807734,0.05083879,2.9623058,0.07290959,38.17128896713257,175.117271900177
False,True,1,1,9,9,False,False,0.002,5.5849385,0.05086055,2.9635737,0.07295091,36.66135096549988,172.62405800819397
False,True,1,1,9,9,False,False,0.001,5.5920415,0.051069807,2.9757667,0.07295209,28.68090510368347,158.97409415245056
False,True,1,1,9,9,False,False,0.0005,5.6104097,0.051214032,2.9841704,0.07417432,26.212430000305176,148.33059406280518
