include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,9,False,True,4.0,5.1550655,0.04763579,2.7756712,0.06771963,42.79210376739502,202.81403803825378
True,True,1,1,9,False,True,1.0,5.15267,0.047674168,2.7779076,0.06773615,44.68356394767761,197.5697090625763
True,True,1,1,9,False,True,0.1,5.1560307,0.047687035,2.7786572,0.06778944,44.431480169296265,211.43603920936584
True,True,1,1,9,False,True,0.01,5.153872,0.04761917,2.774703,0.06769411,40.6831910610199,207.81660175323486
True,True,1,1,9,False,True,0.005,5.1609163,0.047689512,2.7788017,0.0678537,43.93626284599304,209.591961145401
True,True,1,1,9,False,True,0.003,5.164783,0.04771743,2.7804284,0.067836806,37.09979820251465,180.7921838760376
True,True,1,1,9,False,True,0.0025,5.1645885,0.047733117,2.7813423,0.06783942,35.278071880340576,179.96067595481873
True,True,1,1,9,False,True,0.002,5.167528,0.04773715,2.7815776,0.06782675,34.70101714134216,181.91848182678223
True,True,1,1,9,False,True,0.001,5.178072,0.04788202,2.7900188,0.06797872,27.407360076904297,167.85583400726318
True,True,1,1,9,False,True,0.0005,5.1951356,0.048025742,2.7983935,0.06847436,25.56172013282776,145.24866700172424
True,True,1,1,9,False,False,4.0,5.1633067,0.0476882,2.7787251,0.067777134,42.21147704124451,189.14166712760925
True,True,1,1,9,False,False,1.0,5.162353,0.04767881,2.7781782,0.06778643,42.09247589111328,189.02479481697083
True,True,1,1,9,False,False,0.1,5.1637716,0.04767734,2.7780926,0.067835286,43.436798334121704,192.1452841758728
True,True,1,1,9,False,False,0.01,5.162939,0.047690157,2.7788393,0.06778148,40.72423815727234,186.92012691497803
True,True,1,1,9,False,False,0.005,5.16418,0.047705047,2.779707,0.06786555,38.26772999763489,182.51524996757507
True,True,1,1,9,False,False,0.003,5.164338,0.04768175,2.7783494,0.06772864,35.717923164367676,178.49707508087158
True,True,1,1,9,False,False,0.0025,5.1644034,0.047672726,2.7778234,0.06773876,34.50387716293335,175.92408418655396
True,True,1,1,9,False,False,0.002,5.171017,0.047757234,2.7827477,0.06786935,33.42414593696594,176.69873809814453
True,True,1,1,9,False,False,0.001,5.17805,0.047831874,2.787097,0.06790734,26.7070951461792,165.30744910240173
True,True,1,1,9,False,False,0.0005,5.1942725,0.047971357,2.7952244,0.06838993,24.08382487297058,148.36949181556702
False,True,1,1,9,False,True,4.0,5.557847,0.050757136,2.957548,0.07303681,43.26869988441467,170.6805009841919
False,True,1,1,9,False,True,1.0,5.5572925,0.05077258,2.958448,0.073054545,43.35724401473999,172.13734006881714
False,True,1,1,9,False,True,0.1,5.5574956,0.050717093,2.9552147,0.072958395,42.963868856430054,171.69340801239014
False,True,1,1,9,False,True,0.01,5.557639,0.05069181,2.9537413,0.07277,40.39729404449463,168.51206302642822
False,True,1,1,9,False,True,0.005,5.569976,0.050791655,2.9595592,0.072831586,38.78256893157959,165.65187811851501
False,True,1,1,9,False,True,0.003,5.572659,0.05083216,2.9619195,0.07285751,36.50066781044006,163.6064009666443
False,True,1,1,9,False,True,0.0025,5.573256,0.050820682,2.9612505,0.07287315,35.41885781288147,160.7936601638794
False,True,1,1,9,False,True,0.002,5.5793943,0.050844856,2.9626591,0.072905995,33.81137299537659,159.82078099250793
False,True,1,1,9,False,True,0.001,5.590082,0.05104647,2.9744067,0.07283139,27.504180908203125,146.58073687553406
False,True,1,1,9,False,True,0.0005,5.610529,0.051220443,2.984544,0.07419379,26.07447910308838,133.24097895622253
False,True,1,1,9,False,False,4.0,5.5752153,0.05088157,2.9647982,0.07335045,42.24140405654907,164.25046110153198
False,True,1,1,9,False,False,1.0,5.5755105,0.05088085,2.9647565,0.07334367,41.6139760017395,162.88887810707092
False,True,1,1,9,False,False,0.1,5.5753713,0.050862953,2.9637136,0.07332163,42.41296601295471,165.29692387580872
False,True,1,1,9,False,False,0.01,5.5751615,0.050873667,2.964338,0.07314495,40.341712951660156,163.86905002593994
False,True,1,1,9,False,False,0.005,5.5802646,0.050881866,2.9648156,0.073092565,38.80923104286194,162.81295204162598
False,True,1,1,9,False,False,0.003,5.580477,0.05086377,2.9637613,0.072996065,36.183213233947754,157.46810913085938
False,True,1,1,9,False,False,0.0025,5.5807734,0.05083879,2.9623058,0.07290959,34.76483511924744,155.80998396873474
False,True,1,1,9,False,False,0.002,5.5849385,0.05086055,2.9635737,0.07295091,33.7230749130249,154.23195695877075
False,True,1,1,9,False,False,0.001,5.5920415,0.051069807,2.9757667,0.07295209,26.765692949295044,143.85388588905334
False,True,1,1,9,False,False,0.0005,5.6104097,0.051214032,2.9841704,0.07417432,24.287772178649902,130.85512399673462
