include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,24,1,True,True,4,139.857,0.094442256,52.898056,inf,51.06706094741821,351.55501985549927
True,True,1,1,24,1,True,False,4,139.50409,0.09398562,52.64229,inf,49.34682106971741,342.5297589302063
True,True,1,1,24,1,False,True,4,141.30835,0.095551126,53.519142,inf,46.75617814064026,345.16176891326904
True,True,1,1,24,1,False,False,4,138.73001,0.093408026,52.31877,inf,47.05210900306702,340.62952613830566
True,True,1,1,24,2,True,True,4,136.31456,0.094532736,52.948734,inf,49.259624004364014,354.6410880088806
True,True,1,1,24,2,True,False,4,133.33104,0.09299647,52.088253,inf,54.38251996040344,347.9523448944092
True,True,1,1,24,2,False,True,4,135.54303,0.09437389,52.859764,inf,46.07701396942139,322.28899002075195
True,True,1,1,24,2,False,False,4,137.10059,0.09398538,52.642155,inf,46.11662697792053,325.1092720031738
True,True,1,1,24,6,True,True,4,133.67888,0.09359351,52.42266,inf,48.03196597099304,358.09586095809937
True,True,1,1,24,6,True,False,4,131.74416,0.09172412,51.3756,inf,47.820029735565186,350.2363839149475
True,True,1,1,24,6,False,True,4,140.03363,0.09454705,52.95675,inf,48.982985973358154,375.0126168727875
True,True,1,1,24,6,False,False,4,142.68031,0.094468825,52.912937,inf,48.939858198165894,353.94716906547546
True,True,1,1,24,12,True,True,4,130.45349,0.09157086,51.28976,inf,49.144712924957275,406.15214681625366
True,True,1,1,24,12,True,False,4,131.70302,0.09336343,52.293793,inf,52.063963890075684,415.5460159778595
True,True,1,1,24,12,False,True,4,131.64842,0.09116192,51.060707,inf,52.833003759384155,425.4111099243164
True,True,1,1,24,12,False,False,4,130.66232,0.09050902,50.69501,inf,50.227845907211304,393.65924310684204
True,True,1,1,24,24,True,True,4,125.93465,0.09064405,50.77064,inf,52.39525485038757,607.2736608982086
True,True,1,1,24,24,True,False,4,128.34155,0.090550676,50.71834,inf,54.15345501899719,569.747031211853
True,True,1,1,24,24,False,True,4,125.43618,0.08950789,50.13427,inf,53.00562882423401,677.2974419593811
True,True,1,1,24,24,False,False,4,129.1018,0.089530334,50.14684,inf,51.13415884971619,574.21475481987
False,True,1,1,24,1,True,True,4,147.13062,0.10666502,59.74415,inf,50.50835609436035,304.4657280445099
False,True,1,1,24,1,True,False,4,138.1439,0.10389661,58.19353,inf,48.048325061798096,296.5995011329651
False,True,1,1,24,1,False,True,4,147.392,0.106281236,59.529186,inf,47.59966588020325,305.5289890766144
False,True,1,1,24,1,False,False,4,140.03853,0.10449092,58.526413,inf,47.709317207336426,299.4395430088043
False,True,1,1,24,2,True,True,4,144.08658,0.105597004,59.14594,inf,48.16303634643555,305.7034361362457
False,True,1,1,24,2,True,False,4,139.60674,0.1048225,58.71213,inf,47.20629405975342,299.9578859806061
False,True,1,1,24,2,False,True,4,146.42513,0.10520898,58.928604,inf,48.032607078552246,308.1547882556915
False,True,1,1,24,2,False,False,4,140.94092,0.10453758,58.552547,inf,46.95910406112671,303.5043420791626
False,True,1,1,24,6,True,True,4,144.00502,0.10509666,58.865696,inf,54.249380111694336,352.41711711883545
False,True,1,1,24,6,True,False,4,146.71495,0.105588585,59.141224,inf,49.77394700050354,339.16420578956604
False,True,1,1,24,6,False,True,4,148.97412,0.105979666,59.36027,inf,50.862643003463745,335.3258309364319
False,True,1,1,24,6,False,False,4,146.26909,0.104766585,58.680813,inf,48.09352087974548,335.2090051174164
False,True,1,1,24,12,True,True,4,147.78531,0.104508914,58.53649,inf,56.2538788318634,436.3132948875427
False,True,1,1,24,12,True,False,4,148.72542,0.104782484,58.68972,inf,51.31033706665039,384.8939609527588
False,True,1,1,24,12,False,True,4,140.35565,0.101134956,56.646706,inf,54.285972118377686,401.2184052467346
False,True,1,1,24,12,False,False,4,140.1787,0.10187407,57.060688,inf,49.81466102600098,395.96994709968567
False,True,1,1,24,24,True,True,4,142.66542,0.100241214,56.14611,inf,60.250832080841064,657.2746639251709
False,True,1,1,24,24,True,False,4,144.72343,0.100950144,56.543186,inf,64.66427111625671,666.8632121086121
False,True,1,1,24,24,False,True,4,138.24904,0.09934746,55.645508,inf,58.48685693740845,713.65327501297
False,True,1,1,24,24,False,False,4,139.71724,0.099733785,55.861893,inf,59.73016309738159,677.8902480602264
