include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,2,1,24,1,True,True,4,0.019591821,0.015738314,0.01176406,0.0474117,0.7595920562744141,6.410440921783447
True,True,2,1,24,1,True,False,4,0.01950821,0.015675945,0.01171744,0.047330268,0.7663967609405518,6.342344760894775
True,True,2,1,24,1,False,True,4,0.019591821,0.015738314,0.01176406,0.0474117,0.7589471340179443,6.572646141052246
True,True,2,1,24,1,False,False,4,0.01950821,0.015675945,0.01171744,0.047330268,0.7613799571990967,7.180294036865234
True,True,2,1,24,2,True,True,4,0.019586306,0.015783185,0.0117975995,0.04739415,0.9035110473632812,7.386313199996948
True,True,2,1,24,2,True,False,4,0.019600686,0.015738225,0.011763993,0.047399048,0.8918490409851074,6.782116174697876
True,True,2,1,24,2,False,True,4,0.01958675,0.015782895,0.011797382,0.047361262,0.8571791648864746,6.723986864089966
True,True,2,1,24,2,False,False,4,0.019600498,0.01573802,0.011763839,0.047421142,0.8399999141693115,6.987119913101196
True,True,2,1,24,6,True,True,4,0.01957935,0.0157275,0.011755975,0.047222327,0.9599418640136719,8.110994100570679
True,True,2,1,24,6,True,False,4,0.01953598,0.01570569,0.011739673,0.047240295,0.8908901214599609,7.507386922836304
True,True,2,1,24,6,False,True,4,0.019579232,0.015727011,0.011755612,0.04723733,0.8585889339447021,7.592668771743774
True,True,2,1,24,6,False,False,4,0.019536551,0.015704932,0.011739107,0.04725275,0.8667330741882324,7.101737976074219
True,True,2,1,24,12,True,True,4,0.019548774,0.015790176,0.011802824,0.047605176,0.9101150035858154,8.148789167404175
True,True,2,1,24,12,True,False,4,0.019560719,0.01573032,0.0117580835,0.047475506,0.8729710578918457,7.958677053451538
True,True,2,1,24,12,False,True,4,0.019548964,0.015790872,0.011803347,0.04762636,0.8452231884002686,8.570385217666626
True,True,2,1,24,12,False,False,4,0.019562352,0.015731396,0.011758889,0.047495104,0.9726521968841553,8.555122375488281
True,True,2,1,24,24,True,True,4,0.019599484,0.015720064,0.011750418,0.047107108,0.9780840873718262,11.183731079101562
True,True,2,1,24,24,True,False,4,0.019557836,0.01571858,0.011749309,0.047092903,1.6489770412445068,9.745643138885498
True,True,2,1,24,24,False,True,4,0.019599905,0.015720312,0.011750603,0.047117755,0.8118069171905518,9.008538961410522
True,True,2,1,24,24,False,False,4,0.019558394,0.015719498,0.011749994,0.047169276,0.8699288368225098,8.630840063095093
False,True,2,1,24,1,True,True,4,0.019616101,0.015719442,0.011749953,0.047189422,0.8146157264709473,6.448984861373901
False,True,2,1,24,1,True,False,4,0.019588655,0.01572581,0.011754713,0.04756757,0.8524668216705322,6.477402925491333
False,True,2,1,24,1,False,True,4,0.019616075,0.015719451,0.01174996,0.047189426,0.8415720462799072,6.2518510818481445
False,True,2,1,24,1,False,False,4,0.019588023,0.015724324,0.011753603,0.047583416,0.7993988990783691,7.547698020935059
False,True,2,1,24,2,True,True,4,0.019608365,0.015688423,0.011726767,0.047219645,0.9676017761230469,7.133784770965576
False,True,2,1,24,2,True,False,4,0.019612052,0.015709024,0.011742166,0.047176685,0.8929307460784912,6.634304761886597
False,True,2,1,24,2,False,True,4,0.019608289,0.015686978,0.011725687,0.047217924,0.7569420337677002,6.260448932647705
False,True,2,1,24,2,False,False,4,0.019612242,0.015709225,0.011742316,0.047205396,0.7520198822021484,6.160764932632446
False,True,2,1,24,6,True,True,4,0.019634191,0.015727436,0.0117559275,0.04736455,0.8010990619659424,6.607358932495117
False,True,2,1,24,6,True,False,4,0.019539954,0.01565319,0.01170043,0.047171377,0.8343122005462646,6.566230058670044
False,True,2,1,24,6,False,True,4,0.01963403,0.01572668,0.011755364,0.04737865,0.8204238414764404,6.624429941177368
False,True,2,1,24,6,False,False,4,0.01954087,0.01565419,0.011701179,0.047211174,0.7732789516448975,6.484759092330933
False,True,2,1,24,12,True,True,4,0.019664388,0.015810322,0.011817884,0.047240473,0.8126521110534668,7.157038927078247
False,True,2,1,24,12,True,False,4,0.01960607,0.015709374,0.011742428,0.04735103,0.9119269847869873,7.481011867523193
False,True,2,1,24,12,False,True,4,0.019663323,0.015807971,0.011816127,0.047267575,0.8379771709442139,7.191637992858887
False,True,2,1,24,12,False,False,4,0.019605238,0.015708992,0.011742142,0.047343623,0.8230869770050049,7.086245059967041
False,True,2,1,24,24,True,True,4,0.01959414,0.01572296,0.011752582,0.04729078,0.9730489253997803,8.474009990692139
False,True,2,1,24,24,True,False,4,0.019620266,0.015725672,0.011754611,0.047213566,0.9196722507476807,8.407552003860474
False,True,2,1,24,24,False,True,4,0.019592356,0.015721865,0.011751764,0.047370423,1.2281148433685303,8.742693901062012
False,True,2,1,24,24,False,False,4,0.019614602,0.015724493,0.011753729,0.047153823,0.861630916595459,7.986566781997681
