include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,2,1,9,1,True,True,4,5.1920104,0.047893483,2.7925339,0.06844816,41.82714009284973,159.5041539669037
True,True,2,1,9,1,True,False,4,5.1916137,0.047886066,2.7921016,0.06849328,41.76636791229248,154.92541980743408
True,True,2,1,9,1,False,True,4,5.18694,0.047820095,2.788255,0.068386815,41.65201997756958,159.98438906669617
True,True,2,1,9,1,False,False,4,5.187648,0.047864396,2.790838,0.06849966,41.89695405960083,159.39930701255798
True,True,2,1,9,2,True,True,4,5.188278,0.047887612,2.7921915,0.0684086,42.48283886909485,162.57324314117432
True,True,2,1,9,2,True,False,4,5.1954465,0.047937125,2.7950788,0.0685221,42.477559089660645,162.03801012039185
True,True,2,1,9,2,False,True,4,5.176636,0.047741365,2.7836645,0.06819767,42.94589900970459,167.52680134773254
True,True,2,1,9,2,False,False,4,5.188152,0.04784242,2.7895567,0.06835617,42.26639413833618,161.70116710662842
True,True,2,1,9,3,True,True,4,5.189682,0.04785837,2.7904866,0.068369865,42.89351296424866,166.5038299560547
True,True,2,1,9,3,True,False,4,5.1907315,0.047894925,2.792618,0.06840509,42.714102029800415,165.06973791122437
True,True,2,1,9,3,False,True,4,5.174849,0.047707517,2.7816906,0.06811434,41.866491079330444,162.3489489555359
True,True,2,1,9,3,False,False,4,5.1808414,0.04779218,2.7866275,0.06826205,41.5772340297699,162.44714403152466
True,True,2,1,9,5,True,True,4,5.188039,0.047859266,2.7905388,0.068462655,42.730079889297485,172.76978492736816
True,True,2,1,9,5,True,False,4,5.190241,0.04786358,2.7907903,0.0684455,42.95024585723877,171.06107091903687
True,True,2,1,9,5,False,True,4,5.1675987,0.04767418,2.779747,0.06802915,42.12276792526245,168.41208791732788
True,True,2,1,9,5,False,False,4,5.1785746,0.04776882,2.7852652,0.06818126,42.092166900634766,166.6962058544159
True,True,2,1,9,9,True,True,4,5.183502,0.047813285,2.7878578,0.068273805,42.910300731658936,189.30859899520874
True,True,2,1,9,9,True,False,4,5.1904335,0.04783524,2.789138,0.068405345,42.855281829833984,184.58238887786865
True,True,2,1,9,9,False,True,4,5.1656895,0.04766101,2.778979,0.06797947,41.97501802444458,179.06248497962952
True,True,2,1,9,9,False,False,4,5.178352,0.04775883,2.7846825,0.06812323,41.971680879592896,178.32307505607605
False,True,2,1,9,1,True,True,4,5.600924,0.05111602,2.9804308,0.07389967,42.316229820251465,146.59124183654785
False,True,2,1,9,1,True,False,4,5.606499,0.051091306,2.97899,0.07409399,42.318110942840576,144.10248494148254
False,True,2,1,9,1,False,True,4,5.5888057,0.05096386,2.971559,0.07365162,42.00791692733765,147.54550576210022
False,True,2,1,9,1,False,False,4,5.597722,0.051009666,2.9742298,0.07393986,41.87878394126892,145.36170506477356
False,True,2,1,9,2,True,True,4,5.6001678,0.051091097,2.9789777,0.07384955,42.35366201400757,150.598473072052
False,True,2,1,9,2,True,False,4,5.606377,0.05109025,2.9789286,0.07408799,42.4626727104187,148.49835300445557
False,True,2,1,9,2,False,True,4,5.581302,0.05086999,2.9660857,0.07349827,42.05386281013489,150.248703956604
False,True,2,1,9,2,False,False,4,5.5935993,0.05097998,2.972499,0.07388068,41.80316686630249,148.0458779335022
False,True,2,1,9,3,True,True,4,5.600639,0.05109475,2.9791908,0.0738713,42.61051607131958,155.36486220359802
False,True,2,1,9,3,True,False,4,5.6078877,0.051098533,2.9794114,0.074094705,42.46962523460388,152.64421010017395
False,True,2,1,9,3,False,True,4,5.5752854,0.050812226,2.9627175,0.07338594,42.43857502937317,154.93762588500977
False,True,2,1,9,3,False,False,4,5.5911036,0.050959423,2.9713004,0.07382881,42.08481311798096,150.33802199363708
False,True,2,1,9,5,True,True,4,5.5991454,0.051069647,2.9777272,0.07383649,42.76783990859985,159.80653166770935
False,True,2,1,9,5,True,False,4,5.607357,0.051100943,2.9795518,0.074115895,42.85097599029541,157.13976287841797
False,True,2,1,9,5,False,True,4,5.56908,0.050748862,2.9590232,0.07325768,42.03225016593933,156.24757599830627
False,True,2,1,9,5,False,False,4,5.588856,0.050949406,2.9707162,0.073790036,42.05558490753174,154.86435103416443
False,True,2,1,9,9,True,True,4,5.594622,0.051035598,2.9757419,0.0737702,42.97916507720947,164.2306351661682
False,True,2,1,9,9,True,False,4,5.604182,0.051064674,2.9774373,0.07403814,42.67982506752014,162.090096950531
False,True,2,1,9,9,False,True,4,5.5647473,0.05073712,2.9583385,0.07322652,42.299538135528564,158.96826004981995
False,True,2,1,9,9,False,False,4,5.585248,0.05092586,2.9693432,0.07373259,41.966267108917236,156.65538907051086
