include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,24,24,False,True,4.0,125.43618,0.08950789,50.13427,inf,36.74492907524109,324.97310280799866
True,True,1,1,24,24,False,True,1.0,126.32259,0.08886087,49.771866,inf,38.196228981018066,333.55206990242004
True,True,1,1,24,24,False,True,0.1,137.13432,0.090868644,50.89644,inf,38.276684045791626,318.2320191860199
True,True,1,1,24,24,False,True,0.01,124.532234,0.088227436,49.417072,inf,34.63373398780823,325.2771909236908
True,True,1,1,24,24,False,True,0.005,124.37541,0.088530734,49.586952,inf,32.61996817588806,323.47270107269287
True,True,1,1,24,24,False,True,0.003,138.56001,0.09214555,51.611645,inf,28.601872205734253,297.9729552268982
True,True,1,1,24,24,False,True,0.0025,128.63757,0.09057333,50.731033,inf,27.833210706710815,319.4595236778259
True,True,1,1,24,24,False,True,0.002,128.9851,0.09095932,50.947227,inf,25.578973293304443,309.5211350917816
True,True,1,1,24,24,False,True,0.001,123.07871,0.09084821,50.88499,inf,18.542703866958618,262.6776850223541
True,True,1,1,24,24,False,True,0.0005,132.51874,0.092090264,51.58068,inf,18.29443907737732,250.92726707458496
True,True,1,1,24,24,False,False,4.0,129.1018,0.089530334,50.14684,inf,38.835318088531494,318.5414960384369
True,True,1,1,24,24,False,False,1.0,129.47142,0.089516744,50.13923,inf,36.83754587173462,305.37509202957153
True,True,1,1,24,24,False,False,0.1,127.24911,0.089323945,50.03124,inf,38.20349907875061,320.157644033432
True,True,1,1,24,24,False,False,0.01,127.48029,0.08950252,50.13126,inf,35.39650821685791,305.48500418663025
True,True,1,1,24,24,False,False,0.005,126.36279,0.089978375,50.39779,inf,30.935261964797974,298.6542258262634
True,True,1,1,24,24,False,False,0.003,140.52138,0.09372279,52.495075,inf,27.242268800735474,289.02536273002625
True,True,1,1,24,24,False,False,0.0025,132.65123,0.092003025,51.53182,inf,26.378450870513916,302.91198992729187
True,True,1,1,24,24,False,False,0.002,125.77899,0.090650976,50.77452,inf,25.136111974716187,301.8988127708435
True,True,1,1,24,24,False,False,0.001,128.95628,0.0927345,51.941525,inf,17.708232164382935,270.3628730773926
True,True,1,1,24,24,False,False,0.0005,137.87674,0.09443783,52.895576,inf,18.435989141464233,269.1821620464325
False,True,1,1,24,24,False,True,4.0,138.24904,0.09934746,55.645508,inf,42.9787700176239,313.675057888031
False,True,1,1,24,24,False,True,1.0,140.98286,0.09961224,55.79382,inf,46.92435693740845,319.0482568740845
False,True,1,1,24,24,False,True,0.1,149.5611,0.10285191,57.608387,inf,42.59706902503967,313.9747841358185
False,True,1,1,24,24,False,True,0.01,135.73132,0.09977542,55.885216,inf,40.268070220947266,304.1165761947632
False,True,1,1,24,24,False,True,0.005,136.99802,0.10017576,56.10945,inf,35.725932121276855,290.4442892074585
False,True,1,1,24,24,False,True,0.003,149.60336,0.10356226,58.00626,inf,34.545583963394165,288.67624378204346
False,True,1,1,24,24,False,True,0.0025,140.23459,0.101755016,56.994003,inf,30.976608991622925,279.48599076271057
False,True,1,1,24,24,False,True,0.002,135.68597,0.10075073,56.431496,inf,29.455338954925537,273.9602379798889
False,True,1,1,24,24,False,True,0.001,134.33105,0.1002987,56.17831,inf,21.53852605819702,231.63290429115295
False,True,1,1,24,24,False,True,0.0005,138.51477,0.1040165,58.26068,inf,20.919095993041992,216.79039096832275
False,True,1,1,24,24,False,False,4.0,139.71724,0.099733785,55.861893,inf,40.658682107925415,291.10380697250366
False,True,1,1,24,24,False,False,1.0,146.6744,0.10158378,56.89809,inf,40.90311622619629,289.02899527549744
False,True,1,1,24,24,False,False,0.1,142.99913,0.10196553,57.111916,inf,39.50465679168701,292.0742688179016
False,True,1,1,24,24,False,False,0.01,138.202,0.10017954,56.111565,inf,37.784873962402344,290.2117221355438
False,True,1,1,24,24,False,False,0.005,135.8896,0.09994933,55.98262,inf,34.34570002555847,279.641480922699
False,True,1,1,24,24,False,False,0.003,149.07153,0.10338646,57.907795,inf,29.841413974761963,264.01100492477417
False,True,1,1,24,24,False,False,0.0025,140.48431,0.1020597,57.16466,inf,28.06003189086914,257.8825740814209
False,True,1,1,24,24,False,False,0.002,134.41856,0.10023756,56.144062,inf,25.46377396583557,250.73277115821838
False,True,1,1,24,24,False,False,0.001,129.61925,0.099299125,55.618435,inf,19.30185604095459,216.17348504066467
False,True,1,1,24,24,False,False,0.0005,139.8692,0.10475112,58.67215,inf,19.317370176315308,197.6059980392456
