include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,24,6,False,True,4.0,0.018385787,0.015120626,0.011302351,0.047592603,0.7365360260009766,6.6094970703125
True,True,1,1,24,6,False,True,1.0,0.021040402,0.01628941,0.012175992,0.048357025,0.7334368228912354,6.753914833068848
True,True,1,1,24,6,False,True,0.1,0.02028159,0.015995454,0.011956266,0.0479816,0.7382040023803711,6.756191968917847
True,True,1,1,24,6,False,True,0.01,0.020421417,0.016190302,0.01210191,0.047695663,0.6473169326782227,6.536911964416504
True,True,1,1,24,6,False,True,0.005,0.019453965,0.015927836,0.011905724,0.048212953,0.5446529388427734,6.315719127655029
True,True,1,1,24,6,False,True,0.003,0.019576853,0.01572563,0.011754578,0.047259126,0.5502641201019287,6.102073907852173
True,True,1,1,24,6,False,True,0.0025,0.019576853,0.01572563,0.011754578,0.047259126,0.5006320476531982,6.035664796829224
True,True,1,1,24,6,False,True,0.002,0.019576853,0.01572563,0.011754578,0.047259126,0.5579330921173096,6.018033027648926
True,True,1,1,24,6,False,True,0.001,0.019576853,0.01572563,0.011754578,0.047259126,0.5509011745452881,6.050870180130005
True,True,1,1,24,6,False,True,0.0005,0.019576853,0.01572563,0.011754578,0.047259126,0.4988090991973877,6.032499313354492
True,True,1,1,24,6,False,False,4.0,0.01838401,0.015107614,0.011292624,0.047368117,0.7498390674591064,6.62102198600769
True,True,1,1,24,6,False,False,1.0,0.021054726,0.016276611,0.012166426,0.048308033,0.7492318153381348,6.740753889083862
True,True,1,1,24,6,False,False,0.1,0.020261893,0.015981218,0.011945625,0.047726743,0.7427952289581299,6.621373176574707
True,True,1,1,24,6,False,False,0.01,0.020378504,0.016141342,0.012065315,0.04766974,0.68967604637146,6.489341974258423
True,True,1,1,24,6,False,False,0.005,0.019436963,0.015895357,0.0118814465,0.047940228,0.6004111766815186,6.428454160690308
True,True,1,1,24,6,False,False,0.003,0.01953598,0.01570569,0.011739673,0.047240295,0.4814472198486328,6.040958881378174
True,True,1,1,24,6,False,False,0.0025,0.01953598,0.01570569,0.011739673,0.047240295,0.49875402450561523,6.119719743728638
True,True,1,1,24,6,False,False,0.002,0.01953598,0.01570569,0.011739673,0.047240295,0.5282089710235596,6.07761287689209
True,True,1,1,24,6,False,False,0.001,0.01953598,0.01570569,0.011739673,0.047240295,0.48082518577575684,5.9493701457977295
True,True,1,1,24,6,False,False,0.0005,0.01953598,0.01570569,0.011739673,0.047240295,0.5348670482635498,6.008033990859985
False,True,1,1,24,6,False,True,4.0,0.018404307,0.015116322,0.011299133,0.04733738,0.7962980270385742,6.5774970054626465
False,True,1,1,24,6,False,True,1.0,0.021053527,0.016275337,0.012165474,0.04811573,0.8141670227050781,6.604396104812622
False,True,1,1,24,6,False,True,0.1,0.020153543,0.015960142,0.011929871,0.047657255,0.7521698474884033,6.671854019165039
False,True,1,1,24,6,False,True,0.01,0.020378476,0.016167572,0.012084921,0.047488183,0.6585910320281982,6.3566882610321045
False,True,1,1,24,6,False,True,0.005,0.019544316,0.016002974,0.011961887,0.048212737,0.5710241794586182,6.224861145019531
False,True,1,1,24,6,False,True,0.003,0.019620815,0.015716523,0.011747772,0.047273934,0.5633690357208252,5.917116165161133
False,True,1,1,24,6,False,True,0.0025,0.019620815,0.015716523,0.011747772,0.047273934,0.5130538940429688,5.850892066955566
False,True,1,1,24,6,False,True,0.002,0.019620815,0.015716523,0.011747772,0.047273934,0.5658128261566162,5.847177982330322
False,True,1,1,24,6,False,True,0.001,0.019620815,0.015716523,0.011747772,0.047273934,0.567824125289917,5.83462119102478
False,True,1,1,24,6,False,True,0.0005,0.019620815,0.015716523,0.011747772,0.047273934,0.511131763458252,5.967314958572388
False,True,1,1,24,6,False,False,4.0,0.0183312,0.015043507,0.011244706,0.04687442,0.7659237384796143,6.607934951782227
False,True,1,1,24,6,False,False,1.0,0.020689065,0.016093437,0.012029507,0.048109133,0.7787678241729736,6.57876992225647
False,True,1,1,24,6,False,False,0.1,0.020237409,0.015968993,0.011936488,0.047689937,0.739530086517334,6.519298076629639
False,True,1,1,24,6,False,False,0.01,0.020335972,0.016099783,0.0120342495,0.04730103,0.7595071792602539,6.542919158935547
False,True,1,1,24,6,False,False,0.005,0.019483184,0.015922818,0.011901972,0.04787347,0.6158592700958252,6.215257167816162
False,True,1,1,24,6,False,False,0.003,0.019540515,0.015653243,0.011700471,0.047183476,0.504256010055542,5.8440260887146
False,True,1,1,24,6,False,False,0.0025,0.019540515,0.015653243,0.011700471,0.047183476,0.49935483932495117,5.77761173248291
False,True,1,1,24,6,False,False,0.002,0.019540515,0.015653243,0.011700471,0.047183476,0.4925210475921631,5.815193176269531
False,True,1,1,24,6,False,False,0.001,0.019540515,0.015653243,0.011700471,0.047183476,0.5020337104797363,5.74660587310791
False,True,1,1,24,6,False,False,0.0005,0.019540515,0.015653243,0.011700471,0.047183476,0.5408849716186523,5.8125598430633545
