include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,9,9,False,True,4.0,5.1567683,0.047557067,2.7729187,0.06782001,41.97971510887146,187.98284006118774
True,True,1,1,9,9,False,True,1.0,5.1558776,0.04757295,2.7738447,0.06784067,42.54041004180908,183.51869583129883
True,True,1,1,9,9,False,True,0.1,5.158405,0.04758967,2.7748196,0.067882106,42.09677791595459,182.56603407859802
True,True,1,1,9,9,False,True,0.01,5.1563277,0.04754819,2.772401,0.067813724,39.91733908653259,181.51905608177185
True,True,1,1,9,9,False,True,0.005,5.1651397,0.047633853,2.7773957,0.06800909,37.73369288444519,177.40888094902039
True,True,1,1,9,9,False,True,0.003,5.16625,0.047638252,2.7776523,0.06789485,35.790563106536865,174.6432499885559
True,True,1,1,9,9,False,True,0.0025,5.165081,0.0476315,2.7772584,0.067915015,35.46686387062073,174.7992079257965
True,True,1,1,9,9,False,True,0.002,5.1681643,0.04766856,2.7794194,0.06792808,33.17850089073181,171.42613291740417
True,True,1,1,9,9,False,True,0.001,5.1774387,0.047754437,2.7844265,0.06798315,26.977652072906494,162.50069403648376
True,True,1,1,9,9,False,True,0.0005,5.1941905,0.04789688,2.792732,0.06846958,25.600450038909912,140.82856822013855
True,True,1,1,9,9,False,False,4.0,5.165689,0.047601886,2.7755318,0.06791355,41.654772996902466,180.41658997535706
True,True,1,1,9,9,False,False,1.0,5.1667223,0.047620155,2.7765968,0.06796191,41.79122519493103,180.7864010334015
True,True,1,1,9,9,False,False,0.1,5.167765,0.047616173,2.7763648,0.06798064,41.327391147613525,179.5268862247467
True,True,1,1,9,9,False,False,0.01,5.1675625,0.04761272,2.7761636,0.06797223,39.653743267059326,178.42191314697266
True,True,1,1,9,9,False,False,0.005,5.169609,0.047653034,2.7785141,0.06807955,37.786170959472656,177.11524295806885
True,True,1,1,9,9,False,False,0.003,5.169131,0.047632173,2.7772977,0.067970626,35.87739324569702,173.48777723312378
True,True,1,1,9,9,False,False,0.0025,5.1716137,0.047640376,2.777776,0.06799715,34.335355043411255,171.1456651687622
True,True,1,1,9,9,False,False,0.002,5.171178,0.04766237,2.7790585,0.06801142,33.74754595756531,172.56409907341003
True,True,1,1,9,9,False,False,0.001,5.179376,0.047760546,2.784783,0.06806622,26.94347071647644,166.72582983970642
True,True,1,1,9,9,False,False,0.0005,5.194337,0.047880057,2.7917511,0.06848135,24.94122076034546,141.9922387599945
False,True,1,1,9,9,False,True,4.0,5.5552216,0.05064486,2.952959,0.07297238,42.35560393333435,161.64265894889832
False,True,1,1,9,9,False,True,1.0,5.554077,0.050658643,2.9537625,0.072990976,42.3959379196167,162.2291920185089
False,True,1,1,9,9,False,True,0.1,5.554822,0.050611436,2.9510102,0.07289742,42.08987808227539,161.33466506004333
False,True,1,1,9,9,False,True,0.01,5.5552583,0.05058004,2.9491796,0.07270083,40.311798095703125,159.02300691604614
False,True,1,1,9,9,False,True,0.005,5.5655975,0.050664466,2.9541023,0.072739914,37.96602177619934,156.6794548034668
False,True,1,1,9,9,False,True,0.003,5.568491,0.05071257,2.956907,0.07277999,35.895055055618286,154.60155415534973
False,True,1,1,9,9,False,True,0.0025,5.569205,0.050698016,2.9560583,0.072792076,35.02963709831238,153.2906002998352
False,True,1,1,9,9,False,True,0.002,5.575053,0.050723735,2.9575582,0.072827466,33.63698410987854,151.9915909767151
False,True,1,1,9,9,False,True,0.001,5.5867343,0.0509325,2.9697304,0.07279434,27.287275075912476,141.92967104911804
False,True,1,1,9,9,False,True,0.0005,5.606738,0.05109761,2.9793575,0.07410608,26.052782773971558,129.91106271743774
False,True,1,1,9,9,False,False,4.0,5.572462,0.0507674,2.960104,0.07327354,41.67850971221924,158.22480368614197
False,True,1,1,9,9,False,False,1.0,5.5729575,0.05076834,2.9601588,0.073268756,41.780571937561035,158.18328285217285
False,True,1,1,9,9,False,False,0.1,5.572142,0.0507485,2.959002,0.07323773,41.603212118148804,158.5452799797058
False,True,1,1,9,9,False,False,0.01,5.572149,0.050758664,2.9595945,0.0730717,40.469852924346924,157.1408908367157
False,True,1,1,9,9,False,False,0.005,5.5760055,0.050760217,2.959685,0.07300675,37.737834215164185,154.17919611930847
False,True,1,1,9,9,False,False,0.003,5.5765696,0.050742853,2.9586725,0.07292241,35.56310701370239,151.71643996238708
False,True,1,1,9,9,False,False,0.0025,5.577395,0.050725307,2.9576497,0.072849534,34.400330781936646,149.91622972488403
False,True,1,1,9,9,False,False,0.002,5.581223,0.050735645,2.9582524,0.07287903,33.22953510284424,149.39323902130127
False,True,1,1,9,9,False,False,0.001,5.5875077,0.050958145,2.9712257,0.07292019,26.969101905822754,140.30514001846313
False,True,1,1,9,9,False,False,0.0005,5.6066585,0.05109598,2.9792626,0.07409329,24.71812415122986,127.63501715660095
