include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,24,24,False,True,4.0,0.0097160535,0.06372431,0.003441099,0.07131817,13.674862146377563,650.824853181839
True,True,1,1,24,24,False,True,1.0,0.009376281,0.06375833,0.003442936,0.0710262,13.873785018920898,676.1100280284882
True,True,1,1,24,24,False,True,0.1,0.00936642,0.062024657,0.0033493184,0.07934233,14.592545986175537,723.6376659870148
True,True,1,1,24,24,False,True,0.01,0.009662547,0.066651426,0.0035991631,0.08578749,13.458331108093262,742.3321089744568
True,True,1,1,24,24,False,True,0.005,0.008198962,0.068697385,0.0037096443,0.089823,11.288473844528198,670.2623329162598
True,True,1,1,24,24,False,True,0.003,0.014836038,0.12064033,0.0065145525,0.13727866,9.90696907043457,620.7399480342865
True,True,1,1,24,24,False,True,0.0025,0.014774804,0.122274674,0.0066028065,0.14403866,9.377907752990723,621.484659910202
True,True,1,1,24,24,False,True,0.002,0.013683383,0.10831349,0.005848906,0.12448322,10.095909118652344,535.3310980796814
True,True,1,1,24,24,False,True,0.001,0.013683383,0.10831349,0.005848906,0.12448322,9.673030138015747,578.2220461368561
True,True,1,1,24,24,False,True,0.0005,0.013683383,0.10831349,0.005848906,0.12448322,10.36699104309082,637.2230110168457
True,True,1,1,24,24,False,False,4.0,0.018391887,0.108380705,0.0058525354,0.1110974,16.512804985046387,768.8274748325348
True,True,1,1,24,24,False,False,1.0,0.01835107,0.104535535,0.0056448965,0.1072925,14.414638996124268,690.1925311088562
True,True,1,1,24,24,False,False,0.1,0.019177543,0.11269817,0.0060856775,0.114996515,14.337899208068848,671.4235620498657
True,True,1,1,24,24,False,False,0.01,0.013350225,0.09087586,0.004907277,0.102988884,12.7794930934906,757.2621691226959
True,True,1,1,24,24,False,False,0.005,0.013341422,0.09196469,0.0049660737,0.108054556,11.649743795394897,726.3431129455566
True,True,1,1,24,24,False,False,0.003,0.015571311,0.12157132,0.006564826,0.13739812,9.931979179382324,612.1073801517487
True,True,1,1,24,24,False,False,0.0025,0.014943365,0.12261121,0.0066209794,0.14098334,9.204435110092163,583.5282330513
True,True,1,1,24,24,False,False,0.002,0.013730583,0.10883987,0.00587733,0.124797285,9.282712936401367,498.6711537837982
True,True,1,1,24,24,False,False,0.001,0.013730583,0.10883987,0.00587733,0.124797285,9.34561800956726,498.83248710632324
True,True,1,1,24,24,False,False,0.0005,0.013730583,0.10883987,0.00587733,0.124797285,9.31664514541626,514.0249490737915
False,True,1,1,24,24,False,True,4.0,0.007958382,0.037297077,0.0020140344,0.04021006,18.725201845169067,711.2264347076416
False,True,1,1,24,24,False,True,1.0,0.008016424,0.03720996,0.00200933,0.04229154,19.668883085250854,643.5857751369476
False,True,1,1,24,24,False,True,0.1,0.008391407,0.03827348,0.0020667599,0.042182036,16.370190143585205,657.0351629257202
False,True,1,1,24,24,False,True,0.01,0.008173698,0.043570276,0.0023527858,0.055715207,14.43203592300415,656.4346630573273
False,True,1,1,24,24,False,True,0.005,0.006402431,0.043459836,0.0023468218,0.0580127,13.158813953399658,644.6466128826141
False,True,1,1,24,24,False,True,0.003,0.0139269745,0.122028425,0.006589509,0.14372817,12.173825025558472,587.6530990600586
False,True,1,1,24,24,False,True,0.0025,0.013220687,0.11913478,0.0064332527,0.14459284,10.872622966766357,519.4396688938141
False,True,1,1,24,24,False,True,0.002,0.012348709,0.108542785,0.0058612875,0.13278273,10.67081904411316,405.9744231700897
False,True,1,1,24,24,False,True,0.001,0.012348709,0.108542785,0.0058612875,0.13278273,11.171018123626709,416.13812589645386
False,True,1,1,24,24,False,True,0.0005,0.012348709,0.108542785,0.0058612875,0.13278273,10.758796215057373,405.6887743473053
False,True,1,1,24,24,False,False,4.0,0.01626781,0.0797251,0.0043051387,0.07768987,16.136935234069824,671.49560713768
False,True,1,1,24,24,False,False,1.0,0.016623767,0.08039777,0.0043414626,0.079091296,16.76039695739746,632.4960300922394
False,True,1,1,24,24,False,False,0.1,0.014627977,0.07722351,0.004170053,0.08243445,15.648276090621948,619.3149702548981
False,True,1,1,24,24,False,False,0.01,0.011164256,0.07245738,0.003912683,0.08775194,13.594563961029053,608.472836971283
False,True,1,1,24,24,False,False,0.005,0.007737627,0.061987195,0.0033472953,0.08467138,12.079744815826416,585.2946441173553
False,True,1,1,24,24,False,False,0.003,0.013817805,0.121636204,0.0065683294,0.14401686,10.541846990585327,514.4659719467163
False,True,1,1,24,24,False,False,0.0025,0.013066004,0.11760792,0.0063508027,0.14484434,10.06923794746399,477.55251574516296
False,True,1,1,24,24,False,False,0.002,0.01220315,0.108135544,0.005839296,0.13236336,9.789639949798584,396.21914196014404
False,True,1,1,24,24,False,False,0.001,0.01220315,0.108135544,0.005839296,0.13236336,9.988707780838013,400.8386197090149
False,True,1,1,24,24,False,False,0.0005,0.01220315,0.108135544,0.005839296,0.13236336,9.924644231796265,412.77202892303467
