include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,6,24,False,True,4,133.71945,0.093211785,52.208855,inf,40.69868803024292,335.14345502853394
True,True,1,1,6,24,False,False,4,139.6866,0.09404027,52.672894,inf,36.976165771484375,302.73674392700195
True,True,1,1,12,24,False,True,4,126.587456,0.091166094,51.06304,inf,38.37859797477722,322.6016149520874
True,True,1,1,12,24,False,False,4,132.70064,0.090787634,50.851063,inf,39.628730058670044,343.9466800689697
True,True,1,1,24,24,False,True,4,125.43618,0.08950789,50.13427,inf,39.90147614479065,332.73721504211426
True,True,1,1,24,24,False,False,4,129.1018,0.089530334,50.14684,inf,38.12039399147034,312.3716847896576
True,True,1,1,48,24,False,True,4,130.81897,0.09062323,50.758984,inf,37.41115212440491,318.2330107688904
True,True,1,1,48,24,False,False,4,127.06087,0.08912021,49.91712,inf,38.499077796936035,302.7927827835083
True,True,1,1,96,24,False,True,4,126.43703,0.08827657,49.444595,inf,39.589794874191284,313.35207891464233
True,True,1,1,96,24,False,False,4,128.16525,0.08940033,50.07402,inf,38.27552628517151,301.5519061088562
True,True,1,1,192,24,False,True,4,124.08571,0.086248405,48.308598,inf,43.415592193603516,316.1856710910797
True,True,1,1,192,24,False,False,4,122.91467,0.08725537,48.87261,inf,42.21257710456848,301.95998525619507
True,True,1,1,384,24,False,True,4,126.415565,0.08794427,49.258465,inf,46.954018115997314,316.5269842147827
True,True,1,1,384,24,False,False,4,131.42131,0.08917357,49.947014,inf,50.07962489128113,308.2215259075165
True,True,1,1,768,24,False,True,4,135.3363,0.08901216,49.856606,inf,56.16604018211365,329.4055480957031
True,True,1,1,768,24,False,False,4,127.88045,0.08734172,48.92097,inf,57.693130016326904,321.0331289768219
True,True,1,1,1536,24,False,True,4,141.85327,0.09159587,51.30377,inf,78.81152200698853,347.7611720561981
True,True,1,1,1536,24,False,False,4,130.76367,0.090273,50.562813,inf,79.67740988731384,343.3208980560303
False,True,1,1,6,24,False,True,4,154.0647,0.1082466,60.630005,inf,41.19215393066406,283.9976851940155
False,True,1,1,6,24,False,False,4,150.3879,0.107510686,60.217815,inf,39.36751198768616,296.9380669593811
False,True,1,1,12,24,False,True,4,146.15562,0.10413986,58.329777,inf,41.20446300506592,305.4230592250824
False,True,1,1,12,24,False,False,4,145.22511,0.10475751,58.67573,inf,42.964818239212036,346.1108469963074
False,True,1,1,24,24,False,True,4,138.24904,0.09934746,55.645508,inf,41.272034883499146,299.9836549758911
False,True,1,1,24,24,False,False,4,139.71724,0.099733785,55.861893,inf,41.48766493797302,297.7122280597687
False,True,1,1,48,24,False,True,4,133.10988,0.096447095,54.02099,inf,45.4429988861084,384.74449706077576
False,True,1,1,48,24,False,False,4,138.80428,0.09779368,54.775223,inf,41.29175782203674,299.24875807762146
False,True,1,1,96,24,False,True,4,136.56522,0.096986294,54.322998,inf,46.61007833480835,389.5595211982727
False,True,1,1,96,24,False,False,4,131.64969,0.09579887,53.65791,inf,44.38611888885498,316.6163899898529
False,True,1,1,192,24,False,True,4,124.732124,0.0912633,51.11749,inf,49.57922291755676,370.08316707611084
False,True,1,1,192,24,False,False,4,125.11899,0.09160284,51.30767,inf,44.3069109916687,300.1506471633911
False,True,1,1,384,24,False,True,4,124.71723,0.09101581,50.97887,inf,50.610443115234375,312.87045311927795
False,True,1,1,384,24,False,False,4,126.409164,0.09161973,51.317127,inf,49.46574902534485,313.15850496292114
False,True,1,1,768,24,False,True,4,136.19708,0.09403067,52.667522,inf,64.29402709007263,425.12975692749023
False,True,1,1,768,24,False,False,4,138.646,0.09476162,53.076935,inf,65.38646697998047,414.21953296661377
False,True,1,1,1536,24,False,True,4,139.65404,0.095711336,53.60888,inf,83.23802495002747,342.84483098983765
False,True,1,1,1536,24,False,False,4,136.106,0.095569044,53.529182,inf,82.80232119560242,348.2666380405426
