include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,6,6,False,True,4,0.019034259,0.015407599,0.011516857,0.04715943,0.7402849197387695,6.863121032714844
True,True,1,1,6,6,False,False,4,0.019025337,0.015409365,0.011518178,0.047246575,0.7436761856079102,6.843774080276489
True,True,1,1,12,6,False,True,4,0.0205819,0.016102195,0.012036053,0.047755606,0.761725902557373,6.847837924957275
True,True,1,1,12,6,False,False,4,0.020625247,0.016073842,0.012014859,0.0473237,0.7421839237213135,6.7157909870147705
True,True,1,1,24,6,False,True,4,0.018385787,0.015120626,0.011302351,0.047592603,0.757328987121582,6.7959301471710205
True,True,1,1,24,6,False,False,4,0.01838401,0.015107614,0.011292624,0.047368117,0.7920150756835938,6.724714994430542
True,True,1,1,48,6,False,True,4,0.021790123,0.016580477,0.012393559,0.048265353,0.8099226951599121,6.904269695281982
True,True,1,1,48,6,False,False,4,0.021710679,0.016532665,0.012357821,0.048023358,0.8004071712493896,6.786213159561157
True,True,1,1,96,6,False,True,4,0.018876107,0.015532598,0.011610291,0.047527708,0.8544561862945557,6.9066691398620605
True,True,1,1,96,6,False,False,4,0.019008202,0.015616566,0.011673056,0.047759872,0.9185247421264648,6.895870923995972
True,True,1,1,192,6,False,True,4,0.018621366,0.015124814,0.011305481,0.04787107,1.0341460704803467,7.11867618560791
True,True,1,1,192,6,False,False,4,0.018617779,0.015048218,0.011248227,0.04748542,0.9592709541320801,6.9763829708099365
True,True,1,1,384,6,False,True,4,0.025478784,0.018274525,0.013659825,0.050650515,1.2321019172668457,7.307642936706543
True,True,1,1,384,6,False,False,4,0.02537146,0.018195935,0.013601079,0.05004584,1.204535722732544,7.242938756942749
True,True,1,1,768,6,False,True,4,0.018564854,0.015203015,0.011363935,0.049163654,1.7605969905853271,7.889989137649536
True,True,1,1,768,6,False,False,4,0.018516501,0.015155979,0.011328776,0.048170134,1.7346360683441162,7.686206340789795
True,True,1,1,1536,6,False,True,4,0.019445067,0.015637824,0.011688945,0.047744412,2.3668859004974365,8.382647037506104
True,True,1,1,1536,6,False,False,4,0.019401241,0.015624146,0.011678722,0.047447473,2.335094928741455,8.23348617553711
False,True,1,1,6,6,False,True,4,0.01903374,0.015406905,0.011516338,0.04706528,0.7589619159698486,6.742445707321167
False,True,1,1,6,6,False,False,4,0.018988568,0.015346066,0.011470863,0.047043845,0.7384181022644043,6.572936058044434
False,True,1,1,12,6,False,True,4,0.020448282,0.016050922,0.011997727,0.047614258,0.7524738311767578,6.6371941566467285
False,True,1,1,12,6,False,False,4,0.02060042,0.016047275,0.011995002,0.047325995,0.7480270862579346,6.55662989616394
False,True,1,1,24,6,False,True,4,0.018404307,0.015116322,0.011299133,0.04733738,0.8377540111541748,6.720166921615601
False,True,1,1,24,6,False,False,4,0.0183312,0.015043507,0.011244706,0.04687442,0.8420989513397217,6.606189966201782
False,True,1,1,48,6,False,True,4,0.021724472,0.016530152,0.012355941,0.048162594,0.8218879699707031,6.718997001647949
False,True,1,1,48,6,False,False,4,0.02173524,0.016496858,0.0123310555,0.047785886,0.7943820953369141,6.6221771240234375
False,True,1,1,96,6,False,True,4,0.019020993,0.015599295,0.011660146,0.047551982,0.8925580978393555,6.764453887939453
False,True,1,1,96,6,False,False,4,0.0189598,0.015523506,0.011603495,0.04735655,0.8816211223602295,6.681256055831909
False,True,1,1,192,6,False,True,4,0.018592812,0.015082311,0.011273711,0.047896333,1.0391192436218262,6.865922212600708
False,True,1,1,192,6,False,False,4,0.018603062,0.015031869,0.011236006,0.0475843,1.0284647941589355,6.865278005599976
False,True,1,1,384,6,False,True,4,0.025332544,0.018185202,0.013593057,0.049913734,1.249260663986206,7.172610759735107
False,True,1,1,384,6,False,False,4,0.025366802,0.018131075,0.013552599,0.04947525,1.2327001094818115,7.091105222702026
False,True,1,1,768,6,False,True,4,0.018602146,0.015196497,0.011359062,0.048500482,1.7669532299041748,7.588359117507935
False,True,1,1,768,6,False,False,4,0.018453307,0.015123728,0.011304669,0.04803506,1.7536828517913818,7.513251066207886
False,True,1,1,1536,6,False,True,4,0.019394033,0.01561017,0.011668274,0.04761133,2.399298906326294,8.226018905639648
False,True,1,1,1536,6,False,False,4,0.019369176,0.015597679,0.011658938,0.047481593,2.31312894821167,8.141717910766602
