include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,4,9,False,True,4,5.176076,0.047725,2.7827103,0.068132944,41.469249963760376,196.22040796279907
True,True,1,1,4,9,False,False,4,5.1803665,0.047752686,2.7843246,0.06817836,43.58427286148071,189.070965051651
True,True,1,1,9,9,False,True,4,5.1567683,0.047557067,2.7729187,0.06782001,42.20543074607849,196.46682381629944
True,True,1,1,9,9,False,False,4,5.165689,0.047601886,2.7755318,0.06791355,43.81588387489319,195.81202793121338
True,True,1,1,18,9,False,True,4,5.122763,0.047282018,2.7568812,0.067241915,44.056610107421875,195.41144704818726
True,True,1,1,18,9,False,False,4,5.1504793,0.047461424,2.7673419,0.06762851,43.66487097740173,195.62843108177185
True,True,1,1,36,9,False,True,4,5.0855427,0.046895064,2.734319,0.06662426,44.33426308631897,201.21951007843018
True,True,1,1,36,9,False,False,4,5.1099334,0.04711638,2.7472231,0.06705475,45.084741830825806,199.92134499549866
True,True,1,1,72,9,False,True,4,5.051261,0.04639423,2.7051167,0.0660381,46.62607002258301,192.43163514137268
True,True,1,1,72,9,False,False,4,5.0682683,0.046579428,2.7159152,0.06632456,44.974982261657715,187.91955518722534
True,True,1,1,144,9,False,True,4,5.0109334,0.04582247,2.671779,0.0652934,48.66242599487305,196.74506783485413
True,True,1,1,144,9,False,False,4,5.022122,0.0459397,2.6786144,0.06544074,49.40869212150574,194.63796615600586
True,True,1,1,288,9,False,True,4,4.9368286,0.045281183,2.6402183,0.06446354,56.20911192893982,203.86553597450256
True,True,1,1,288,9,False,False,4,4.942486,0.04523826,2.6377156,0.064400084,55.80123496055603,201.01403903961182
True,True,1,1,576,9,False,True,4,4.902105,0.04507271,2.6280627,0.06430029,69.81247186660767,218.1223030090332
True,True,1,1,576,9,False,False,4,4.90245,0.045037787,2.6260264,0.064269036,69.61033701896667,215.87625122070312
True,True,1,1,1152,9,False,True,4,4.890252,0.04519805,2.635371,0.064538665,94.98742771148682,242.73081803321838
True,True,1,1,1152,9,False,False,4,4.8879914,0.045130853,2.6314528,0.0644741,92.94384407997131,238.27599835395813
False,True,1,1,4,9,False,True,4,5.588894,0.050890565,2.9672854,0.07349972,42.08375382423401,167.69245290756226
False,True,1,1,4,9,False,False,4,5.5947194,0.050974686,2.9721901,0.073773414,42.30188059806824,165.22928261756897
False,True,1,1,9,9,False,True,4,5.5552216,0.05064486,2.952959,0.07297238,42.20257616043091,173.2771110534668
False,True,1,1,9,9,False,False,4,5.572462,0.0507674,2.960104,0.07327354,43.77047300338745,171.56658101081848
False,True,1,1,18,9,False,True,4,5.4988203,0.050080802,2.9200704,0.07183648,44.28456401824951,175.51617002487183
False,True,1,1,18,9,False,False,4,5.534192,0.050373454,2.9371343,0.07237429,44.10757517814636,171.51814198493958
False,True,1,1,36,9,False,True,4,5.418355,0.049305823,2.8748837,0.070285186,45.06712198257446,172.90448212623596
False,True,1,1,36,9,False,False,4,5.450003,0.049609642,2.8925984,0.07080347,42.942129135131836,166.46631693840027
False,True,1,1,72,9,False,True,4,5.3542457,0.048511952,2.8285952,0.06913146,45.173810958862305,172.4503529071808
False,True,1,1,72,9,False,False,4,5.3736286,0.048761323,2.8431354,0.06950167,44.78826689720154,168.56041502952576
False,True,1,1,144,9,False,True,4,5.230069,0.047242507,2.7545774,0.066870704,48.733112812042236,174.2425799369812
False,True,1,1,144,9,False,False,4,5.2451634,0.047433708,2.7657259,0.067085385,48.142345905303955,171.8948860168457
False,True,1,1,288,9,False,True,4,5.1116858,0.046340927,2.7020087,0.065468214,55.83798575401306,181.21913075447083
False,True,1,1,288,9,False,False,4,5.124953,0.04639967,2.705434,0.06563135,55.69102191925049,179.93610787391663
False,True,1,1,576,9,False,True,4,5.0370183,0.046015564,2.6830378,0.0649093,69.87247705459595,196.6680290699005
False,True,1,1,576,9,False,False,4,5.0435143,0.04599832,2.6820323,0.06491543,69.66035580635071,194.16394710540771
False,True,1,1,1152,9,False,True,4,5.035228,0.046109784,2.6885314,0.064937286,93.68443703651428,219.4055690765381
False,True,1,1,1152,9,False,False,4,5.031724,0.046061475,2.6857147,0.0648261,93.85549116134644,217.47242188453674
