include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,6,24,False,True,4,0.009235767,0.06798673,0.0036712687,0.08730366,15.736427068710327,768.0680751800537
True,True,1,1,6,24,False,False,4,0.017907765,0.10911469,0.00589217,0.117806375,16.422282934188843,1048.7709460258484
True,True,1,1,12,24,False,True,4,0.00987273,0.065474905,0.0035356309,0.079935886,23.112730264663696,954.2567343711853
True,True,1,1,12,24,False,False,4,0.018504623,0.10956305,0.0059163817,0.109983236,19.98165988922119,801.828054189682
True,True,1,1,24,24,False,True,4,0.0097160535,0.06372431,0.003441099,0.07131817,15.935116052627563,838.9406628608704
True,True,1,1,24,24,False,False,4,0.018391887,0.108380705,0.0058525354,0.1110974,19.63226890563965,842.5315978527069
True,True,1,1,48,24,False,True,4,0.009558323,0.06050776,0.0032674063,0.070026,17.739312171936035,948.0461192131042
True,True,1,1,48,24,False,False,4,0.018657142,0.11024335,0.0059531177,0.11176147,18.06008291244507,876.6223917007446
True,True,1,1,96,24,False,True,4,0.009096724,0.056974906,0.0030766327,0.072267644,17.970247268676758,848.8406972885132
True,True,1,1,96,24,False,False,4,0.01856374,0.10669629,0.0057615773,0.10631612,17.82828998565674,850.7004480361938
True,True,1,1,192,24,False,True,4,0.009198596,0.055784427,0.0030123473,0.06551197,20.31864285469055,873.7530817985535
True,True,1,1,192,24,False,False,4,0.01913331,0.11424601,0.0061692605,0.11534971,18.481395959854126,808.603579044342
True,True,1,1,384,24,False,True,4,0.009021415,0.05700808,0.0030784244,0.07071793,20.048675775527954,771.5432660579681
True,True,1,1,384,24,False,False,4,0.019076934,0.1099018,0.005934674,0.106545195,20.39211106300354,795.3208281993866
True,True,1,1,768,24,False,True,4,0.009654906,0.062432177,0.0033713244,0.07770825,25.38688898086548,757.0425219535828
True,True,1,1,768,24,False,False,4,0.018480198,0.11140124,0.0060156435,0.11574951,23.791731119155884,699.0153121948242
True,True,1,1,1536,24,False,True,4,0.009151939,0.064705364,0.003494076,0.07993325,33.71077084541321,724.4551570415497
True,True,1,1,1536,24,False,False,4,0.017376414,0.10108081,0.0054583424,0.10431963,34.274152994155884,734.1343679428101
False,True,1,1,6,24,False,True,4,0.00830484,0.04474946,0.0024164615,0.05548287,15.73374319076538,630.5102472305298
False,True,1,1,6,24,False,False,4,0.014080752,0.08832244,0.004769393,0.10297029,15.386886835098267,681.8827719688416
False,True,1,1,12,24,False,True,4,0.008150686,0.040594343,0.002192086,0.04930327,16.866578102111816,629.1225159168243
False,True,1,1,12,24,False,False,4,0.015883913,0.086023346,0.004645243,0.09024145,15.150635957717896,637.9496650695801
False,True,1,1,24,24,False,True,4,0.007958382,0.037297077,0.0020140344,0.04021006,16.789379119873047,615.6907069683075
False,True,1,1,24,24,False,False,4,0.01626781,0.0797251,0.0043051387,0.07768987,15.628216981887817,638.8502950668335
False,True,1,1,48,24,False,True,4,0.0076870294,0.03672853,0.001983333,0.042712286,16.5762300491333,623.9066152572632
False,True,1,1,48,24,False,False,4,0.015843777,0.08001495,0.0043207905,0.07963927,15.502470970153809,658.7933828830719
False,True,1,1,96,24,False,True,4,0.008557619,0.03771737,0.0020367298,0.040714137,17.100783824920654,627.0820648670197
False,True,1,1,96,24,False,False,4,0.015771912,0.07585711,0.0040962677,0.075572744,16.690545082092285,603.6076340675354
False,True,1,1,192,24,False,True,4,0.008120158,0.03630254,0.0019603295,0.042762484,17.530019998550415,617.9788701534271
False,True,1,1,192,24,False,False,4,0.015094923,0.072871655,0.003935054,0.07183126,16.936275959014893,590.7816607952118
False,True,1,1,384,24,False,True,4,0.007936474,0.03816401,0.0020608483,0.04453229,19.946680068969727,619.798907995224
False,True,1,1,384,24,False,False,4,0.013597599,0.07216997,0.0038971629,0.074016415,20.02342915534973,661.8295502662659
False,True,1,1,768,24,False,True,4,0.008480367,0.045454405,0.0024545284,0.056324374,26.75368332862854,644.5368320941925
False,True,1,1,768,24,False,False,4,0.014538402,0.079629734,0.004299989,0.0844148,24.910290002822876,623.363981962204
False,True,1,1,1536,24,False,True,4,0.008474792,0.056314044,0.0030409466,0.071651876,35.00468921661377,645.9186191558838
False,True,1,1,1536,24,False,False,4,0.016548837,0.091844104,0.004959562,0.09770476,34.19602298736572,636.8537259101868
